Id,R,Rm,Name,Team,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
4947,C,M;C,Brescianini,Atalanta,16,6.16,6.81,3,0,0,0,0,0,2,1,0,0
5685,C,T,Koopmeiners,Juventus,22,6.02,6.27,1,0,0,0,0,0,4,3,0,0
4965,C,M;C,Marin,Cagliari,19,6.05,6.53,3,0,0,2,2,0,2,4,0,0
152,C,C;T,Zielinski,Inter,17,6.03,6.44,2,0,0,2,2,0,1,0,0,0
536,C,W,Politano,Napoli,25,6.1,6.38,2,0,0,0,0,0,2,2,0,0
5319,C,C,Sohm,Parma,26,6.06,6.44,4,0,0,0,0,0,0,4,0,0
5850,C,C,Lovric,Udinese,25,6.08,6.34,2,0,0,0,0,0,2,3,0,0
5589,C,M;C,Kone' M.,Roma,21,6.26,6.48,2,0,0,0,0,0,1,5,0,0
6967,C,W;A,Diao,Como,7,6.5,8.07,4,0,0,0,0,0,0,2,0,0
788,C,M;C,Freuler,Bologna,25,6.24,6.2,0,0,0,0,0,0,1,4,0,0
2529,C,C,Mkhitaryan,Inter,24,6.1,6.33,1,0,0,0,0,0,4,3,0,0
4973,C,M;C,McKennie,Juventus,19,6,6.37,2,0,0,0,0,0,2,2,0,0
4186,C,C,Guendouzi,Lazio,26,6.1,6.21,1,0,0,0,0,0,2,4,0,0
4423,C,C,Hernani,Parma,16,6.09,6.59,3,0,0,3,3,0,1,4,0,0
468,C,M;C,Paredes,Roma,13,6.23,6.42,1,0,0,1,1,0,1,3,0,0
6170,C,C,Gineitis,Torino,18,6.08,6.44,2,0,0,0,0,0,1,1,0,0
6020,C,C;W,Ellertsson,Venezia,25,6,6.26,2,0,0,0,0,0,1,1,0,0
6684,C,C;T,Ekkelenkamp,Udinese,22,6.07,6.55,3,0,0,0,0,0,2,1,0,0
6815,C,W;A,Fadera,Como,21,6.02,6.26,1,0,0,0,0,0,3,0,1,0
2766,C,T;A,Zaniolo,Fiorentina,15,6.13,6.47,2,0,0,0,0,0,1,4,0,0
6206,C,C;T,Fabbian,Bologna,16,6.12,6.47,2,0,0,0,0,0,0,2,0,0
5791,C,E;M,Frendrup,Genoa,25,6.08,6.26,2,0,0,0,0,0,0,3,0,0
6634,C,W,Tete Morente,Lecce,21,5.83,6.26,3,0,0,0,0,0,1,2,0,0
236,C,W,Lazovic,Verona,21,5.93,6.21,1,0,0,1,1,0,3,0,0,0
4686,C,M;C,Fofana Y.,Milan,23,6.02,6.22,1,0,0,0,0,0,4,5,0,0
6889,C,W;T,Anjorin,Empoli,17,6.29,6.41,0,0,0,0,0,0,3,2,0,0
4479,C,W;T,Elmas,Torino,2,6.5,8,1,0,0,0,0,0,0,0,0,0
2077,C,C;T,Pasalic,Atalanta,23,5.91,6.11,2,0,0,1,0,1,2,1,0,0
5858,C,C;T,Ferguson,Bologna,6,6.25,6.75,1,0,0,1,1,0,0,0,0,0
6640,C,E;W,Felici,Cagliari,14,5.96,6.14,0,0,0,0,0,0,3,1,0,0
5559,C,W;T,Da Cunha,Como,23,6.04,6.17,1,0,0,0,0,0,1,2,0,0
4992,C,W,Gyasi,Empoli,26,5.87,5.98,2,0,0,0,0,0,1,4,0,1
5878,C,T,Colpani,Fiorentina,22,5.8,6.05,2,0,0,0,0,0,0,1,0,0
827,C,M;C,Locatelli,Juventus,23,6.17,6.11,0,0,0,0,0,0,1,5,0,0
5813,C,C;T,Miretti,Genoa,20,5.9,6.18,1,0,0,0,0,0,3,1,0,0
333,C,M;C,Cataldi,Fiorentina,16,5.97,6.5,3,0,0,0,0,0,0,1,0,0
530,C,C;T,Pellegrini Lo.,Roma,19,5.68,5.95,2,0,0,1,1,0,1,4,0,0
5453,C,M;C,Ricci S.,Torino,25,6.14,6.18,1,0,0,0,0,0,1,6,0,0
6674,C,M;C,Andersen M.K.,Venezia,13,5.96,6.23,1,0,0,0,0,0,1,1,0,0
6190,C,C,Pisilli,Roma,19,6.03,6.24,2,0,0,0,0,0,1,6,0,0
5516,C,M;C,Bianco,Monza,23,6.02,6.02,1,0,0,0,0,0,0,6,0,0
1933,C,M;C,Mandragora,Fiorentina,16,5.94,6.22,1,0,0,1,1,0,3,4,0,0
2839,C,W,Sottil,Milan,18,5.97,6.17,1,0,0,0,0,0,1,1,0,0
